ID,Nombre Pelicula/Serie,Duración,Género,Calificación,Fecha Estreno,Nombre Episodio,Temporada,Num Episodio,ID Episodio
tt7569592,Chilling Aventura of Sabrina,60,Drama/Fantasy/Terror/Misterio/Suspenso,7.6,10/26/2018,Chapter Eighteen: The Miracles Of Sabrina Spellman,2,7,tt7697970
tt1855325,Resident Evil: Retribution,95,Accion/Aventura/Fantasy/Terror/Sci-Fi/Suspenso,5.4,9/14/2012,,,,
tt0898266,The Big Bang Theory,22,Comedia/Romance,8.1,01/05/2006,The Lizard-Spock Expansion,2,8,tt1256039
tt0468569,The Dark Knight,152,Accion/Crimen/Drama/Suspenso,9,7/18/2008,,,,
tt4574334,Stranger Things,51,Drama/Fantasy/Terror/Misterio/Sci-Fi/Suspenso,8.8,7/15/2016,Chapter Six: The Monster,1,6,tt4593132
tt5580146,Maniac,10,Comedia/Drama/Sci-Fi,7.8,9/21/2018,The Lake Of The Clouds,1,8,tt7741834
tt0448157,Hancock,92,Accion/Fantasy,6.4,02/07/2008,,,,
tt1663662,Pacific Rim,131,Accion/Aventura/Sci-Fi,6.9,12/07/2013,,,,
tt0810819,The Danish Girl,119,Biografia/Drama/Romance,7.1,1/22/2016,,,,
tt4633694,Spider-Man: Into The Spider-Verse,117,Animacion/Accion/Aventura/Familiar/Sci-Fi,8.4,12/14/2018,,,,
